<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200210;070000;1.0952100;1.0957400;1.0950000;1.0955900;27610
20200210;080000;1.0956600;1.0957500;1.0952000;1.0954600;29829
20200210;090000;1.0954600;1.0957500;1.0950000;1.0951200;42902
20200210;100000;1.0951300;1.0953700;1.0944000;1.0946700;70903
20200210;110000;1.0946700;1.0953600;1.0943000;1.0951300;80591
20200210;120000;1.0950700;1.0952000;1.0944000;1.0949800;68279
20200210;130000;1.0949700;1.0955000;1.0947000;1.0948600;64808
20200210;140000;1.0949200;1.0952700;1.0943000;1.0949000;58943
20200210;150000;1.0949100;1.0952000;1.0946000;1.0949300;59109
20200210;160000;1.0949300;1.0952700;1.0929000;1.0931900;86440
20200210;170000;1.0932600;1.0934000;1.0926000;1.0927600;91073
20200210;180000;1.0927300;1.0938300;1.0918000;1.0924100;93074
20200210;190000;1.0922600;1.0924200;1.0908000;1.0915100;67601
20200210;200000;1.0914500;1.0920100;1.0909000;1.0910100;52222
20200210;210000;1.0910300;1.0916600;1.0908000;1.0913100;39268
20200210;220000;1.0913700;1.0916300;1.0911000;1.0913800;32667
20200210;230000;1.0913600;1.0915300;1.0906700;1.0911500;43230
20200211;000000;1.0912200;1.0914000;1.0908000;1.0910600;21869
20200211;010000;1.0910900;1.0914600;1.0907700;1.0910000;22268
20200211;020000;1.0910700;1.0913400;1.0907000;1.0910100;25408
20200211;030000;1.0910100;1.0911400;1.0906000;1.0909300;25444
20200211;040000;1.0910000;1.0915300;1.0907000;1.0912800;38700
20200211;050000;1.0912800;1.0916300;1.0910000;1.0914000;28993
20200211;060000;1.0913900;1.0917100;1.0911000;1.0912800;28266
20200211;070000;1.0912900;1.0914000;1.0907000;1.0909500;25849
20200211;080000;1.0909500;1.0913000;1.0906000;1.0912000;33539
20200211;090000;1.0911600;1.0912300;1.0906000;1.0910300;36107
20200211;100000;1.0910900;1.0914400;1.0904000;1.0914200;66497
20200211;110000;1.0914100;1.0915300;1.0904000;1.0910000;70762
20200211;120000;1.0910000;1.0916000;1.0907000;1.0913400;65214
20200211;130000;1.0912800;1.0919600;1.0909000;1.0917500;57178
20200211;140000;1.0918200;1.0920700;1.0910800;1.0912500;52897
20200211;150000;1.0912600;1.0916300;1.0906000;1.0908900;59979
20200211;160000;1.0908600;1.0909800;1.0890200;1.0903500;114017
20200211;170000;1.0903300;1.0922800;1.0900000;1.0919200;103043
20200211;180000;1.0920100;1.0924800;1.0910000;1.0915900;107166
20200211;190000;1.0916200;1.0923900;1.0911000;1.0915800;80135
20200211;200000;1.0916400;1.0924500;1.0914800;1.0921200;61669
20200211;210000;1.0921600;1.0922100;1.0915000;1.0919000;46990
